"Subj" "x0" "x1" "x2"
1 1 2 0.443
1 1 3 0.443
1 1 4 0.443
1 1 5 0.443
1 1 6 0.443
1 1 7 0.443
1 1 8 0.443
1 1 10 0.443
2 1 1 0.849
2 1 2 0.849
2 1 3 0.849
2 1 4 0.849
2 1 7 0.849
2 1 8 0.849
2 1 9 0.849
2 1 10 0.849
3 1 1 -0.213
3 1 2 -0.213
3 1 4 -0.213
3 1 5 -0.213
3 1 6 -0.213
3 1 8 -0.213
3 1 9 -0.213
3 1 10 -0.213
4 1 1 -0.308
4 1 2 -0.308
4 1 3 -0.308
4 1 4 -0.308
4 1 6 -0.308
4 1 7 -0.308
4 1 8 -0.308
4 1 9 -0.308
4 1 10 -0.308
5 1 1 -1.594
5 1 2 -1.594
5 1 3 -1.594
5 1 4 -1.594
5 1 5 -1.594
5 1 6 -1.594
5 1 7 -1.594
5 1 8 -1.594
5 1 9 -1.594
5 1 10 -1.594
6 1 1 1.016
6 1 2 1.016
6 1 3 1.016
6 1 4 1.016
6 1 6 1.016
6 1 8 1.016
6 1 9 1.016
7 1 1 -1.791
7 1 2 -1.791
7 1 3 -1.791
7 1 4 -1.791
7 1 5 -1.791
7 1 6 -1.791
7 1 7 -1.791
7 1 9 -1.791
8 1 1 0.335
8 1 2 0.335
8 1 3 0.335
8 1 4 0.335
8 1 5 0.335
8 1 6 0.335
8 1 7 0.335
8 1 8 0.335
8 1 9 0.335
8 1 10 0.335
9 1 1 -1.778
9 1 2 -1.778
9 1 6 -1.778
9 1 7 -1.778
9 1 8 -1.778
9 1 10 -1.778
10 1 1 -0.588
10 1 2 -0.588
10 1 4 -0.588
10 1 5 -0.588
10 1 6 -0.588
10 1 7 -0.588
10 1 8 -0.588
10 1 10 -0.588
11 1 2 1.868
11 1 3 1.868
11 1 6 1.868
11 1 7 1.868
11 1 8 1.868
11 1 9 1.868
11 1 10 1.868
12 1 1 0.325
12 1 2 0.325
12 1 3 0.325
12 1 4 0.325
12 1 5 0.325
12 1 6 0.325
12 1 7 0.325
12 1 8 0.325
12 1 9 0.325
12 1 10 0.325
13 1 1 0.243
13 1 2 0.243
13 1 4 0.243
13 1 5 0.243
13 1 6 0.243
13 1 7 0.243
13 1 8 0.243
13 1 9 0.243
14 1 1 0.639
14 1 2 0.639
14 1 3 0.639
14 1 6 0.639
14 1 7 0.639
14 1 10 0.639
15 1 1 -1.145
15 1 2 -1.145
15 1 3 -1.145
15 1 4 -1.145
15 1 5 -1.145
15 1 7 -1.145
15 1 8 -1.145
15 1 9 -1.145
15 1 10 -1.145
16 1 1 -0.187
16 1 4 -0.187
16 1 5 -0.187
16 1 6 -0.187
16 1 7 -0.187
16 1 8 -0.187
16 1 9 -0.187
16 1 10 -0.187
17 1 1 2.334
17 1 2 2.334
17 1 3 2.334
17 1 4 2.334
17 1 5 2.334
17 1 6 2.334
17 1 9 2.334
18 1 2 -0.68
18 1 4 -0.68
18 1 5 -0.68
18 1 6 -0.68
18 1 8 -0.68
18 1 9 -0.68
18 1 10 -0.68
19 1 1 1.825
19 1 2 1.825
19 1 3 1.825
19 1 4 1.825
19 1 5 1.825
19 1 6 1.825
19 1 7 1.825
19 1 9 1.825
20 1 1 0.656
20 1 2 0.656
20 1 4 0.656
20 1 6 0.656
20 1 7 0.656
20 1 8 0.656
20 1 9 0.656
20 1 10 0.656
